ClientName,NetAssets,EstablishedTime,Region,NumberOfFunds,service,flag
Vanguard,7586623.06,1929,US,183,InvestmentServicing,Y
Vanguard,7586623.06,1929,US,183,Custody,Y
Vanguard,7586623.06,1929,US,183,ETFSolutionsCost,N
Vanguard,7586623.06,1929,US,183,FundAccounting,N
Vanguard,7586623.06,1929,US,183,RiskAnalytics,N
Vanguard,7586623.06,1929,US,183,MultiAssetClassAnalytics,N
Vanguard,7586623.06,1929,US,183,DigitalExperience,N
Vanguard,7586623.06,1929,US,183,PortfolioSolutions,Y
Vanguard,7586623.06,1929,US,183,FXServices,N
Vanguard,7586623.06,1929,US,183,FinancingCollateralServices,Y
Fidelity Investments,3522451.33,1930,EUR,512,InvestmentServicing,Y
Fidelity Investments,3522451.33,1930,EUR,512,Custody,Y
Fidelity Investments,3522451.33,1930,EUR,512,ETFSolutionsCost,N
Fidelity Investments,3522451.33,1930,EUR,512,FundAccounting,N
Fidelity Investments,3522451.33,1930,EUR,512,RiskAnalytics,N
Fidelity Investments,3522451.33,1930,EUR,512,MultiAssetClassAnalytics,N
Fidelity Investments,3522451.33,1930,EUR,512,DigitalExperience,N
Fidelity Investments,3522451.33,1930,EUR,512,PortfolioSolutions,Y
Fidelity Investments,3522451.33,1930,EUR,512,FXServices,N
Fidelity Investments,3522451.33,1930,EUR,512,FinancingCollateralServices,Y
American Funds,2352274.51,1934,US,69,InvestmentServicing,N
American Funds,2352274.51,1934,US,69,Custody,Y
American Funds,2352274.51,1934,US,69,ETFSolutionsCost,N
American Funds,2352274.51,1934,US,69,FundAccounting,N
American Funds,2352274.51,1934,US,69,RiskAnalytics,Y
American Funds,2352274.51,1934,US,69,MultiAssetClassAnalytics,Y
American Funds,2352274.51,1934,US,69,DigitalExperience,Y
American Funds,2352274.51,1934,US,69,PortfolioSolutions,N
American Funds,2352274.51,1934,US,69,FXServices,N
American Funds,2352274.51,1934,US,69,FinancingCollateralServices,Y
iShares,2247698.42,1996,InvestmentServicing,EUR,FinancingCollateralServices,Y
iShares,2247698.42,1996,Custody,386,FinancingCollateralServices,Y
iShares,2247698.42,1996,ETFSolutionsCost,N,FinancingCollateralServices,Y
iShares,2247698.42,1996,FundAccounting,Y,FinancingCollateralServices,Y
iShares,2247698.42,1996,RiskAnalytics,N,FinancingCollateralServices,Y
iShares,2247698.42,1996,MultiAssetClassAnalytics,N,FinancingCollateralServices,Y
iShares,2247698.42,1996,DigitalExperience,Y,FinancingCollateralServices,Y
iShares,2247698.42,1996,PortfolioSolutions,Y,FinancingCollateralServices,Y
iShares,2247698.42,1996,FXServices,Y,FinancingCollateralServices,Y
iShares,2247698.42,1996,FinancingCollateralServices,N,FinancingCollateralServices,Y
State Street Global Advisors,1229128.21,1935,EUR,188,InvestmentServicing,N
State Street Global Advisors,1229128.21,1935,EUR,188,Custody,Y
State Street Global Advisors,1229128.21,1935,EUR,188,ETFSolutionsCost,N
State Street Global Advisors,1229128.21,1935,EUR,188,FundAccounting,N
State Street Global Advisors,1229128.21,1935,EUR,188,RiskAnalytics,Y
State Street Global Advisors,1229128.21,1935,EUR,188,MultiAssetClassAnalytics,Y
State Street Global Advisors,1229128.21,1935,EUR,188,DigitalExperience,Y
State Street Global Advisors,1229128.21,1935,EUR,188,PortfolioSolutions,N
State Street Global Advisors,1229128.21,1935,EUR,188,FXServices,N
State Street Global Advisors,1229128.21,1935,EUR,188,FinancingCollateralServices,Y
J.P. Morgan,1010465.44,1987,EUR,153,InvestmentServicing,N
J.P. Morgan,1010465.44,1987,EUR,153,Custody,Y
J.P. Morgan,1010465.44,1987,EUR,153,ETFSolutionsCost,N
J.P. Morgan,1010465.44,1987,EUR,153,FundAccounting,N
J.P. Morgan,1010465.44,1987,EUR,153,RiskAnalytics,Y
J.P. Morgan,1010465.44,1987,EUR,153,MultiAssetClassAnalytics,Y
J.P. Morgan,1010465.44,1987,EUR,153,DigitalExperience,Y
J.P. Morgan,1010465.44,1987,EUR,153,PortfolioSolutions,N
J.P. Morgan,1010465.44,1987,EUR,153,FXServices,N
J.P. Morgan,1010465.44,1987,EUR,153,FinancingCollateralServices,Y
BlackRock,893713.19,1973,US,217,InvestmentServicing,N
BlackRock,893713.19,1973,US,217,Custody,Y
BlackRock,893713.19,1973,US,217,ETFSolutionsCost,N
BlackRock,893713.19,1973,US,217,FundAccounting,N
BlackRock,893713.19,1973,US,217,RiskAnalytics,Y
BlackRock,893713.19,1973,US,217,MultiAssetClassAnalytics,Y
BlackRock,893713.19,1973,US,217,DigitalExperience,Y
BlackRock,893713.19,1973,US,217,PortfolioSolutions,N
BlackRock,893713.19,1973,US,217,FXServices,N
BlackRock,893713.19,1973,US,217,FinancingCollateralServices,Y
T. Rowe Price,885588.95,1939,EUR,183,InvestmentServicing,Y
T. Rowe Price,885588.95,1939,EUR,183,Custody,Y
T. Rowe Price,885588.95,1939,EUR,183,ETFSolutionsCost,N
T. Rowe Price,885588.95,1939,EUR,183,FundAccounting,N
T. Rowe Price,885588.95,1939,EUR,183,RiskAnalytics,Y
T. Rowe Price,885588.95,1939,EUR,183,MultiAssetClassAnalytics,N
T. Rowe Price,885588.95,1939,EUR,183,DigitalExperience,N
T. Rowe Price,885588.95,1939,EUR,183,PortfolioSolutions,N
T. Rowe Price,885588.95,1939,EUR,183,FXServices,N
T. Rowe Price,885588.95,1939,EUR,183,FinancingCollateralServices,Y
The Vanguard Group,827056.14,1992,EUR,1,InvestmentServicing,Y
The Vanguard Group,827056.14,1992,EUR,1,Custody,Y
The Vanguard Group,827056.14,1992,EUR,1,ETFSolutionsCost,N
The Vanguard Group,827056.14,1992,EUR,1,FundAccounting,N
The Vanguard Group,827056.14,1992,EUR,1,RiskAnalytics,Y
The Vanguard Group,827056.14,1992,EUR,1,MultiAssetClassAnalytics,N
The Vanguard Group,827056.14,1992,EUR,1,DigitalExperience,N
The Vanguard Group,827056.14,1992,EUR,1,PortfolioSolutions,N
The Vanguard Group,827056.14,1992,EUR,1,FXServices,N
The Vanguard Group,827056.14,1992,EUR,1,FinancingCollateralServices,Y
Invesco,749860.85,1946,EUR,393,InvestmentServicing,Y
Invesco,749860.85,1946,EUR,393,Custody,N
Invesco,749860.85,1946,EUR,393,ETFSolutionsCost,N
Invesco,749860.85,1946,EUR,393,FundAccounting,Y
Invesco,749860.85,1946,EUR,393,RiskAnalytics,N
Invesco,749860.85,1946,EUR,393,MultiAssetClassAnalytics,N
Invesco,749860.85,1946,EUR,393,DigitalExperience,Y
Invesco,749860.85,1946,EUR,393,PortfolioSolutions,Y
