ClientName,NetAssets,EstablishedTime,Region,NumberOfFunds,InvestmentServicingCost,CustodyCost,AssetUnderManagement,ETFSolutionsCost,FundAccountingCost,RiskAnalyticsCost,MultiAssetClassAnalyticsCost,DigitalExperienceCost,PortfolioSolutionsCost,FXServicesCost,FinancingCollateralServicesCost,HasCollateral,Horizon,CustomerValue
Vanguard,7586623.06,1929,US,183,690.8798198,921.173093,6069298.448,0,0,0,0,0,460.5865465,0,690.8798198,Y,Short,2763.519279
Fidelity Investments,3522451.33,1930,EUR,512,1744.883976,2326.511968,2817961.064,0,0,0,0,0,1163.255984,0,1744.883976,Y,Long,6979.535903
American Funds,2352274.51,1934,US,69,0,4295.81055,1881819.608,0,0,2147.905275,2147.905275,1073.952638,0,0,3221.857913,Y,Long,12887.43165
iShares,"2,247,698.42",1996,EUR,386,0,2548.620609,1798158.736,0,0,1274.310305,1274.310305,637.1551523,0,0,1911.465457,Y,Long,7645.861827
State Street Global Advisors,1229128.21,1935,EUR,188,0,937.897525,983302.568,0,0,468.9487625,468.9487625,234.4743813,0,0,703.4231438,Y,Long,2813.692575
J.P. Morgan,1010465.44,1987,EUR,153,0,2752.099267,808372.352,0,0,1376.049633,1376.049633,688.0248167,0,0,2064.07445,Y,Long,8256.2978
BlackRock,893713.19,1973,US,217,0,1793.632879,714970.552,0,0,896.8164393,896.8164393,448.4082197,0,0,1345.224659,Y,Long,5380.898636
T. Rowe Price,885588.95,1939,EUR,183,1804.025078,2405.36677,708471.16,0,0,1202.683385,0,0,0,0,1804.025078,Y,Long,7216.100311
The Vanguard Group,827056.14,1992,EUR,1,6031.876005,8042.50134,661644.912,0,0,4021.25067,0,0,0,0,6031.876005,Y,Short,24127.50402
Invesco,749860.85,1946,EUR,393,1847.044521,0,0,0,1847.044521,0,0,615.6815071,1231.363014,0,1847.044521,Y,Short,7388.178085
TIAA Investments,533650.24,1952,EUR,88,1184.748006,0,0,0,1184.748006,0,0,394.9160018,789.8320037,0,1184.748006,Y,Short,4738.992022
